State Abbreviation,Percent Uninsured,Percent of Medicare Enrollees with at Least One Primary Care Visit,Percent Black,Percent Hispanic,Mean Household Income,Median House Value,Percent College Grads
AK,20.81004758472264,68.39611774781523,3.370547308310193,4.117385981173091,39316.12792728492,189058.5445202177,20.81004758472264
AL,17.025654647168945,83.0114635352283,25.861257545414436,1.7051561563473316,33407.113797085745,113881.20865105349,17.025654647168945
AR,20.627987365270066,80.98354451091782,15.583713587758304,3.249270650269754,31613.75777494874,95801.43354305378,20.627987365270066
AZ,19.3134489680667,79.60712272985948,2.9224665828140175,25.25258160428261,37996.24773317108,159287.37641193133,19.3134489680667
CA,20.64394323815184,72.22184580389089,6.441747361078349,32.376800671147414,41101.18297444187,303544.61800801667,20.64394323815184
CO,17.873024496881815,76.6082566316081,3.6836406560201103,17.10198506801475,42011.63005403534,226085.16404419532,17.873024496881815
CT,10.38753494947696,78.51477554387114,8.679059071358028,9.405869281207819,53347.25952382967,246975.95615329614,10.38753494947696
DC,9.0215406,63.846220066712895,59.44981000000001,7.858105700000001,48273.488,209547.6,9.0215406
DE,11.571322097595711,83.63333310056109,18.942700603818274,4.757146268884634,42467.284898690654,172944.09177348137,11.571322097595711
FL,25.376835522473243,77.52058803157027,14.167278417364916,16.785455581139953,41501.51915251309,145385.48993195503,25.376835522473243
GA,22.04699951660334,79.70233899339645,28.479550651452588,5.316429421756197,37331.47577490727,150343.78444594992,22.04699951660334
HI,8.79640983297006,76.25678683154604,1.7194297822075546,7.2390394341265,38823.70818829362,372182.75061326247,8.79640983297006
IA,10.837464788716394,81.5649486690935,2.0757783291600123,2.8183140487560263,36792.487531858744,110766.30466951028,10.837464788716394
ID,20.402097820337367,78.73554276956823,0.37783443107384435,7.8588634992150395,32950.40086079246,142546.43868138953,20.402097820337367
IL,15.791606007352204,78.20649773882661,14.94571318559819,12.321652092912288,42313.20127423508,181368.82196514733,15.791606007352204
IN,17.097244019807622,80.53989828420661,8.31285661944324,3.5282711977337495,37408.3267514996,127593.16741128384,17.097244019807622
KS,16.00325255469052,84.4889537263426,5.631825059127025,7.002333744049114,38156.17857101909,113739.74707608717,16.00325255469052
KY,17.64952976557344,82.32686423091002,7.265111011265838,1.4829892528453648,32605.293667244707,113157.93521334347,17.64952976557344
LA,20.743374103837652,78.53028381645366,32.298003433132294,2.4107983645625803,31030.202320201315,112554.6127170967,20.743374103837652
MA,5.156857065478572,77.7508715235151,5.013768050178695,6.752598000463247,47084.605716887294,257428.4402576146,5.156857065478572
MD,12.798604510734664,77.34982690316431,27.65484541186464,4.303154955513478,46096.35535318076,197016.36140741236,12.798604510734664
