Gender,Percentile,Year,Life Expectancy Adjusted
F,1,2001,79.893463
F,1,2002,79.410622
F,1,2003,79.572174
F,1,2004,80.092476
F,1,2005,80.465935
F,1,2006,79.701607
F,1,2007,79.851669
F,1,2008,79.41481800000001
F,1,2009,74.534164
F,1,2010,79.124969
F,1,2011,79.731888
F,1,2012,78.75975799999999
F,1,2013,79.464867
F,1,2014,79.824127
F,2,2001,81.125061
F,2,2002,81.11790500000001
F,2,2003,80.408615
F,2,2004,81.537674
F,2,2005,81.351906
F,2,2006,80.92012
F,2,2007,81.715248
F,2,2008,81.074432
F,2,2009,79.924911
F,2,2010,80.118484
F,2,2011,81.66377299999999
F,2,2012,80.844505
F,2,2013,81.009857
F,2,2014,80.674217
F,3,2001,81.354729
F,3,2002,80.903343
F,3,2003,81.471512
F,3,2004,82.722084
F,3,2005,81.820351
F,3,2006,82.721352
F,3,2007,82.505142
F,3,2008,81.050659
F,3,2009,81.270462
F,3,2010,82.129913
F,3,2011,82.092026
F,3,2012,81.72647099999999
F,3,2013,81.203835
F,3,2014,81.89437099999999
F,4,2001,81.049797
F,4,2002,81.268372
F,4,2003,82.015091
F,4,2004,80.665871
F,4,2005,82.279106
F,4,2006,83.140556
F,4,2007,82.430634
F,4,2008,82.561165
F,4,2009,81.860954
F,4,2010,82.00013
F,4,2011,82.55630500000001
F,4,2012,81.65226
F,4,2013,82.357407
F,4,2014,82.03553000000001
F,5,2001,81.390022
F,5,2002,82.342102
F,5,2003,81.745598
F,5,2004,81.781387
F,5,2005,82.628883
F,5,2006,82.72448
F,5,2007,83.020226
F,5,2008,82.371391
F,5,2009,81.618149
F,5,2010,82.598892
F,5,2011,82.773834
F,5,2012,82.13651999999999
F,5,2013,81.841492
F,5,2014,82.77220200000001
F,6,2001,81.959129
F,6,2002,82.235641
F,6,2003,81.823952
F,6,2004,82.413078
F,6,2005,82.612984
F,6,2006,82.506714
F,6,2007,82.856491
F,6,2008,82.037186
F,6,2009,81.097664
F,6,2010,82.567696
F,6,2011,82.43695799999999
F,6,2012,82.323898
F,6,2013,82.338539
F,6,2014,82.489838
F,7,2001,80.840523
F,7,2002,81.206528
F,7,2003,81.195824
F,7,2004,82.399902
F,7,2005,81.532875
F,7,2006,81.555275
F,7,2007,83.306282
F,7,2008,82.18581400000001
F,7,2009,81.692932
F,7,2010,81.748161
F,7,2011,82.75819399999999
F,7,2012,82.331337
F,7,2013,82.378761
F,7,2014,82.73848000000001
F,8,2001,81.180038
F,8,2002,82.11934699999999
F,8,2003,81.020279
F,8,2004,82.293755
F,8,2005,82.384529
F,8,2006,81.94973
F,8,2007,82.537743
F,8,2008,82.792213
F,8,2009,82.384514
F,8,2010,82.76690699999999
F,8,2011,81.55229200000001
F,8,2012,83.092209
F,8,2013,81.963959
F,8,2014,82.40061999999999
F,9,2001,81.21300500000001
F,9,2002,80.93070999999999
F,9,2003,80.853836
F,9,2004,82.145439
F,9,2005,82.505615
F,9,2006,82.72760799999999
F,9,2007,82.716972
F,9,2008,82.60208100000001
F,9,2009,82.165611
F,9,2010,82.397438
F,9,2011,82.393784
F,9,2012,81.902908
F,9,2013,82.38209499999999
F,9,2014,82.926582
F,10,2001,81.163208
F,10,2002,81.64110600000001
F,10,2003,81.939751
F,10,2004,81.854507
F,10,2005,81.81935899999999
F,10,2006,83.366051
F,10,2007,82.596939
F,10,2008,82.59992199999999
F,10,2009,81.748001
F,10,2010,83.027298
F,10,2011,82.190498
F,10,2012,82.744621
F,10,2013,82.427071
F,10,2014,82.182259
F,11,2001,82.844086
F,11,2002,82.415199
F,11,2003,81.99481999999999
F,11,2004,82.415115
F,11,2005,82.849518
F,11,2006,81.696129
F,11,2007,83.410202
F,11,2008,82.377602
F,11,2009,82.55540500000001
F,11,2010,83.08270999999999
F,11,2011,82.699844
F,11,2012,82.349396
F,11,2013,83.134506
F,11,2014,83.81875600000001
F,12,2001,81.586624
F,12,2002,81.832535
F,12,2003,81.390244
F,12,2004,81.820679
F,12,2005,81.526558
F,12,2006,82.35797099999999
F,12,2007,83.654678
F,12,2008,82.80630500000001
F,12,2009,83.490364
F,12,2010,82.05789200000001
F,12,2011,82.783775
F,12,2012,82.76252
F,12,2013,82.021011
F,12,2014,84.048508
F,13,2001,80.900085
F,13,2002,81.721191
F,13,2003,82.07907900000001
F,13,2004,82.549133
F,13,2005,81.876099
F,13,2006,82.7211
F,13,2007,82.88419300000001
F,13,2008,83.551613
F,13,2009,83.073853
F,13,2010,83.014381
F,13,2011,83.53733100000001
F,13,2012,84.198433
F,13,2013,83.079178
F,13,2014,83.72290799999999
F,14,2001,82.751808
F,14,2002,81.95773299999999
F,14,2003,83.118706
F,14,2004,82.495132
F,14,2005,82.049522
F,14,2006,83.48962399999999
F,14,2007,83.600319
F,14,2008,83.909805
F,14,2009,82.753357
F,14,2010,83.490379
F,14,2011,83.834785
F,14,2012,83.192833
F,14,2013,83.688248
F,14,2014,84.02754200000001
F,15,2001,81.706863
F,15,2002,82.91494
F,15,2003,82.328644
F,15,2004,82.194466
F,15,2005,82.725952
F,15,2006,82.396202
F,15,2007,84.075699
F,15,2008,83.212013
F,15,2009,83.156982
F,15,2010,83.37738
F,15,2011,83.329285
F,15,2012,83.43113699999999
F,15,2013,83.208229
F,15,2014,83.60199
F,16,2001,82.456917
F,16,2002,82.803726
F,16,2003,83.346901
F,16,2004,82.284798
F,16,2005,82.590851
F,16,2006,83.221397
F,16,2007,83.298271
F,16,2008,83.098213
F,16,2009,84.20599399999999
F,16,2010,84.00235
F,16,2011,83.304428
F,16,2012,82.997337
F,16,2013,84.098007
F,16,2014,84.57405899999999
F,17,2001,81.456627
F,17,2002,82.456062
F,17,2003,82.437218
F,17,2004,82.567017
F,17,2005,83.323402
F,17,2006,82.619484
F,17,2007,82.87645699999999
F,17,2008,83.68866700000001
F,17,2009,82.692627
F,17,2010,83.810898
F,17,2011,83.852325
F,17,2012,83.88000500000001
F,17,2013,83.938789
F,17,2014,83.93111400000001
F,18,2001,82.959946
F,18,2002,82.439995
F,18,2003,82.46781899999999
F,18,2004,82.952492
F,18,2005,83.37361899999999
F,18,2006,83.282394
F,18,2007,83.635971
F,18,2008,83.59944200000001
F,18,2009,82.811722
F,18,2010,83.075539
F,18,2011,84.10591099999999
F,18,2012,83.96524000000001
F,18,2013,84.52109499999999
F,18,2014,84.634621
F,19,2001,82.820015
F,19,2002,82.866699
F,19,2003,82.778198
F,19,2004,83.518936
F,19,2005,84.151375
F,19,2006,84.31019599999999
F,19,2007,83.570053
F,19,2008,83.851196
F,19,2009,83.87455
F,19,2010,84.21167
F,19,2011,84.04746999999999
F,19,2012,83.956429
F,19,2013,83.863869
F,19,2014,85.11760699999999
F,20,2001,82.723396
F,20,2002,84.134766
F,20,2003,82.092636
F,20,2004,82.84326899999999
F,20,2005,84.162865
F,20,2006,83.22197
F,20,2007,83.846497
F,20,2008,84.666855
F,20,2009,82.909706
F,20,2010,84.343452
F,20,2011,83.943077
F,20,2012,83.86640200000001
F,20,2013,83.447365
F,20,2014,84.220749
F,21,2001,82.439278
F,21,2002,82.87344399999999
F,21,2003,83.459579
F,21,2004,83.065308
F,21,2005,82.882202
F,21,2006,83.601326
F,21,2007,84.455711
F,21,2008,83.625725
F,21,2009,84.121651
F,21,2010,84.34300999999999
F,21,2011,84.29630999999999
F,21,2012,84.1763
F,21,2013,84.116989
F,21,2014,84.443336
F,22,2001,83.016441
F,22,2002,83.632851
F,22,2003,83.136276
F,22,2004,83.50212900000001
F,22,2005,82.812523
F,22,2006,83.64801
F,22,2007,84.515945
F,22,2008,83.58107
F,22,2009,82.869026
F,22,2010,84.778351
F,22,2011,84.944572
F,22,2012,85.13803100000001
F,22,2013,83.485985
F,22,2014,85.45043199999999
F,23,2001,81.73481
F,23,2002,82.420006
F,23,2003,84.27034
F,23,2004,83.088264
F,23,2005,83.98734300000001
F,23,2006,83.59787
F,23,2007,83.910431
F,23,2008,84.473969
F,23,2009,84.127571
