Zip,County,State,Name,Latitude,Longitude,Type,Trauma,City
2129,SUFFOLK,MA,SPAULDING REHABILITATION HOSPITAL,42.3785090760001,-71.049055546,REHABILITATION,NOT AVAILABLE,BOSTON
2537,BARNSTABLE,MA,SPAULDING REHABILITATION HOSPITAL CAPE COD,41.7329844970001,-70.4681028369999,REHABILITATION,NOT AVAILABLE,SANDWICH
1904,ESSEX,MA,NORTH SHORE MEDICAL CENTER  - UNION CAMPUS,42.5018000000001,-70.9799,GENERAL ACUTE CARE,NOT AVAILABLE,LYNN
2062,NORFOLK,MA,NORWOOD HOSPITAL,42.1890000000001,-71.2021,GENERAL ACUTE CARE,NOT AVAILABLE,NORWOOD
2302,PLYMOUTH,MA,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,42.0879,-70.9915,GENERAL ACUTE CARE,NOT AVAILABLE,BROCKTON
2780,BRISTOL,MA,TAUNTON STATE HOSPITAL,41.912671539,-71.10220588399991,PSYCHIATRIC,NOT AVAILABLE,TAUNTON
1876,MIDDLESEX,MA,TEWKSBURY HOSPITAL,42.607074196999996,-71.218223198,CHRONIC DISEASE,NOT AVAILABLE,TEWKSBURY
1605,WORCESTER,MA,UMASS MEMORIAL MEDICAL CENTER - MEMORIAL CAMPUS,42.2729000000001,-71.7923,GENERAL ACUTE CARE,"LEVEL I, PEDIATRIC II",WORCESTER
1542,WORCESTER,MA,VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,42.201899283,-71.89882734299991,LONG TERM CARE,NOT AVAILABLE,LEICESTER
1109,HAMPDEN,MA,VIBRA HOSPITAL OF WESTERN MASSACHUSETTS,42.120518363,-72.547438415,LONG TERM CARE,NOT AVAILABLE,SPRINGFIELD
2359,PLYMOUTH,MA,WESTWOOD/PEMBROKE HEALTH SYSTEM PEMBROKE,42.097623722,-70.764458636,PSYCHIATRIC,NOT AVAILABLE,PEMBROKE
2090,NORFOLK,MA,WESTWOOD/PEMBROKE HEALTH SYSTEM WESTWOOD,42.2065041480001,-71.224077232,PSYCHIATRIC,NOT AVAILABLE,WESTWOOD
1830,ESSEX,MA,WHITTIER PAVILION,42.778546964,-71.0731763699999,PSYCHIATRIC,NOT AVAILABLE,HAVERHILL
1581,WORCESTER,MA,WHITTIER REHABILITATION HOSPITAL,42.2764796720001,-71.567841777,REHABILITATION,NOT AVAILABLE,WESTBOROUGH
1830,ESSEX,MA,WHITTIER REHABILITATION HOSPITAL BRADFORD,42.761619081999996,-71.11889838,REHABILITATION,NOT AVAILABLE,HAVERHILL
1655,WORCESTER,MA,UMASS MEMORIAL MEDICAL CENTER - UNIVERSITY CAMPUS,42.2778000000001,-71.7617,GENERAL ACUTE CARE,NOT AVAILABLE,WORCESTER
1604,WORCESTER,MA,WORCESTER RECOVERY CENTER AND HOSPITAL,42.279667187,-71.769066943,PSYCHIATRIC,NOT AVAILABLE,WORCESTER
1301,FRANKLIN,MA,BAYSTATE FRANKLIN MEDICAL CENTER,42.5957000000001,-72.5923,GENERAL ACUTE CARE,NOT AVAILABLE,GREENFIELD
2215,SUFFOLK,MA,BETH ISRAEL DEACONESS MEDICAL CENTER - EAST CAMPUS,42.3395,-71.10509999999991,GENERAL ACUTE CARE,LEVEL I,BOSTON
2118,SUFFOLK,MA,BOSTON MEDICAL CENTER - EAST NEWTON CAMPUS,42.336999999999996,-71.0706,GENERAL ACUTE CARE,"LEVEL I, PEDIATRIC I",BOSTON
2118,SUFFOLK,MA,BOSTON MEDICAL CENTER - MENINO CAMPUS,42.3347000000001,-71.0732,GENERAL ACUTE CARE,"LEVEL I, PEDIACTRIC II",BOSTON
2115,SUFFOLK,MA,CHILDREN'S HOSPITAL BOSTON,42.3372000000001,-71.1064,GENERAL ACUTE CARE,PEDIATRICS I,BOSTON
