gnd,pctile,year,le_raceadj,quartiles
F,1,2001,79.893463,Q1
F,1,2002,79.410622,Q1
F,1,2003,79.572174,Q1
F,1,2004,80.092476,Q1
F,1,2005,80.465935,Q1
F,1,2006,79.701607,Q1
F,1,2007,79.851669,Q1
F,1,2008,79.41481800000001,Q1
F,1,2009,74.534164,Q1
F,1,2010,79.124969,Q1
F,1,2011,79.731888,Q1
F,1,2012,78.75975799999999,Q1
F,1,2013,79.464867,Q1
F,1,2014,79.824127,Q1
F,2,2001,81.125061,Q1
F,2,2002,81.11790500000001,Q1
F,2,2003,80.408615,Q1
F,2,2004,81.537674,Q1
F,2,2005,81.351906,Q1
F,2,2006,80.92012,Q1
F,2,2007,81.715248,Q1
F,2,2008,81.074432,Q1
F,2,2009,79.924911,Q1
F,2,2010,80.118484,Q1
F,2,2011,81.66377299999999,Q1
F,2,2012,80.844505,Q1
F,2,2013,81.009857,Q1
F,2,2014,80.674217,Q1
F,3,2001,81.354729,Q1
F,3,2002,80.903343,Q1
F,3,2003,81.471512,Q1
F,3,2004,82.722084,Q1
F,3,2005,81.820351,Q1
F,3,2006,82.721352,Q1
F,3,2007,82.505142,Q1
F,3,2008,81.050659,Q1
F,3,2009,81.270462,Q1
F,3,2010,82.129913,Q1
F,3,2011,82.092026,Q1
F,3,2012,81.72647099999999,Q1
F,3,2013,81.203835,Q1
F,3,2014,81.89437099999999,Q1
F,4,2001,81.049797,Q1
F,4,2002,81.268372,Q1
F,4,2003,82.015091,Q1
F,4,2004,80.665871,Q1
F,4,2005,82.279106,Q1
F,4,2006,83.140556,Q1
F,4,2007,82.430634,Q1
F,4,2008,82.561165,Q1
F,4,2009,81.860954,Q1
F,4,2010,82.00013,Q1
F,4,2011,82.55630500000001,Q1
F,4,2012,81.65226,Q1
F,4,2013,82.357407,Q1
F,4,2014,82.03553000000001,Q1
F,5,2001,81.390022,Q1
F,5,2002,82.342102,Q1
F,5,2003,81.745598,Q1
F,5,2004,81.781387,Q1
F,5,2005,82.628883,Q1
F,5,2006,82.72448,Q1
F,5,2007,83.020226,Q1
F,5,2008,82.371391,Q1
F,5,2009,81.618149,Q1
F,5,2010,82.598892,Q1
F,5,2011,82.773834,Q1
F,5,2012,82.13651999999999,Q1
F,5,2013,81.841492,Q1
F,5,2014,82.77220200000001,Q1
F,6,2001,81.959129,Q1
F,6,2002,82.235641,Q1
F,6,2003,81.823952,Q1
F,6,2004,82.413078,Q1
F,6,2005,82.612984,Q1
F,6,2006,82.506714,Q1
F,6,2007,82.856491,Q1
F,6,2008,82.037186,Q1
F,6,2009,81.097664,Q1
F,6,2010,82.567696,Q1
F,6,2011,82.43695799999999,Q1
F,6,2012,82.323898,Q1
F,6,2013,82.338539,Q1
F,6,2014,82.489838,Q1
F,7,2001,80.840523,Q1
F,7,2002,81.206528,Q1
F,7,2003,81.195824,Q1
F,7,2004,82.399902,Q1
F,7,2005,81.532875,Q1
F,7,2006,81.555275,Q1
F,7,2007,83.306282,Q1
F,7,2008,82.18581400000001,Q1
F,7,2009,81.692932,Q1
F,7,2010,81.748161,Q1
F,7,2011,82.75819399999999,Q1
F,7,2012,82.331337,Q1
F,7,2013,82.378761,Q1
F,7,2014,82.73848000000001,Q1
F,8,2001,81.180038,Q1
F,8,2002,82.11934699999999,Q1
F,8,2003,81.020279,Q1
F,8,2004,82.293755,Q1
F,8,2005,82.384529,Q1
F,8,2006,81.94973,Q1
F,8,2007,82.537743,Q1
F,8,2008,82.792213,Q1
F,8,2009,82.384514,Q1
F,8,2010,82.76690699999999,Q1
F,8,2011,81.55229200000001,Q1
F,8,2012,83.092209,Q1
F,8,2013,81.963959,Q1
F,8,2014,82.40061999999999,Q1
F,9,2001,81.21300500000001,Q1
F,9,2002,80.93070999999999,Q1
F,9,2003,80.853836,Q1
F,9,2004,82.145439,Q1
F,9,2005,82.505615,Q1
F,9,2006,82.72760799999999,Q1
F,9,2007,82.716972,Q1
F,9,2008,82.60208100000001,Q1
F,9,2009,82.165611,Q1
F,9,2010,82.397438,Q1
F,9,2011,82.393784,Q1
F,9,2012,81.902908,Q1
F,9,2013,82.38209499999999,Q1
F,9,2014,82.926582,Q1
F,10,2001,81.163208,Q1
F,10,2002,81.64110600000001,Q1
F,10,2003,81.939751,Q1
F,10,2004,81.854507,Q1
F,10,2005,81.81935899999999,Q1
