,State,IMU Score,County Name,Population Underserved
0,PW,42.5,Aimeliik State,10762
1,PW,42.5,Kayangel State,10762
2,PW,42.5,Ngarchelong State,10762
3,PW,42.5,Ngardmau State,10762
4,PW,42.5,Hatoboheit State,10762
5,PW,42.5,Ngaraard State,10762
6,PW,42.5,Airai State,10762
7,PW,42.5,Ngiwal State,10762
8,PW,42.5,Peleliu State,10762
9,PW,42.5,Sonsorol State,10762
10,PW,42.5,Angaur State,10762
11,PW,42.5,Koror State,10762
12,PW,42.5,Melekeok State,10762
13,PW,42.5,Ngatpang State,10762
14,PW,42.5,Ngchesar State,10762
15,PW,42.5,Ngernmlengui State,10762
16,MH,36.4,Utrik,53158
17,MH,36.4,Wotho,53158
18,MH,36.4,Wotje,53158
19,MH,36.4,Mejit,53158
20,MH,36.4,Mili,53158
21,MH,36.4,Toke,53158
22,MH,36.4,Kwajalein,53158
23,MH,36.4,Likiep,53158
24,MH,36.4,Majuro,53158
25,MH,36.4,Namorik,53158
26,MH,36.4,Namu,53158
27,MH,36.4,Rongrik,53158
28,MH,36.4,Jabat,53158
29,MH,36.4,Ujae,53158
30,MH,36.4,Ujelang,53158
31,MH,36.4,Erikub,53158
32,MH,36.4,Lae,53158
33,MH,36.4,Lib,53158
34,MH,36.4,Bikar,53158
35,MH,36.4,Bikini,53158
36,MH,36.4,Bokak,53158
37,MH,36.4,Ebon,53158
38,MH,36.4,Enewetak,53158
39,MH,36.4,Rongelap,53158
40,MH,36.4,Jaluit,53158
41,MH,36.4,Jemo Municipality,53158
42,MH,36.4,Aur,53158
43,MH,36.4,Maloelap,53158
44,MH,36.4,Ailinginae,53158
45,MH,36.4,Ailinglaplap,53158
46,MH,36.4,Ailuk,53158
47,MH,36.4,Arno,53158
48,GU,61.1,Guam,156509
49,WY,81.4,Teton County,5401
50,WY,76.5,Sublette County,1758
51,WY,85.7,Sheridan County,4685
52,WY,85.7,Sheridan County,4685
53,WY,85.7,Sheridan County,4685
54,WY,85.7,Sheridan County,4685
55,WI,49,Bayfield County,15078
56,VA,59.9,Shenandoah County,42059
57,VA,58.8,Middlesex County,10505
58,VA,58.6,Rappahannock County,7380
59,TX,48.6,Houston County,20222
60,TX,51.7,Starr County,61387
61,TX,60.8,Garza County,4066
62,TX,56.4,Eastland County,17398
63,TX,59.5,Borden County,673
64,TX,55.7,Cameron County,13215
65,TX,55.7,Cameron County,13215
66,TX,55.7,Cameron County,13215
67,TX,59.9,Kerr County,48239
68,TX,60.3,Franklin County,10466
69,TX,59.2,Nueces County,24888
70,TX,59.2,Nueces County,24888
71,TX,59.2,Nueces County,24888
72,TX,59.2,Nueces County,24888
73,TX,59.2,Nueces County,24888
74,TX,59.2,Nueces County,24888
75,TX,57.1,Karnes County,12211
76,TX,60.8,Upton County,3265
77,TX,59.4,Hill County,33842
78,TN,56.8,McMinn County,22209
79,TN,57.4,Roane County,52652
80,TN,53.6,Henry County,13796
81,TN,50,Polk County,16454
82,TN,61,Lewis County,11795
83,TN,61,Sequatchie County,14176
84,TN,58.3,Campbell County,20226
85,TN,55.8,Morgan County,18703
86,TN,56.8,Houston County,4017
87,TN,51.2,Jackson County,11360
88,TN,60.7,Dyer County,14558
89,TN,61.6,McNairy County,26001
90,TN,61,Carroll County,12479
91,TN,50.8,Benton County,16199
92,TN,60.7,Humphreys County,7322
93,TN,61.4,Shelby County,25842
94,TN,61.4,Shelby County,25842
95,TN,61.4,Shelby County,25842
96,TN,61.4,Shelby County,25842
97,TN,61.4,Shelby County,25842
98,TN,61.4,Shelby County,25842
99,TN,61.4,Shelby County,25842
100,TN,60.2,Hickman County,22743
101,TN,57.3,Shelby County,85059
102,TN,57.3,Shelby County,85059
103,TN,57.3,Shelby County,85059
104,TN,57.3,Shelby County,85059
105,TN,57.3,Shelby County,85059
106,TN,57.3,Shelby County,85059
107,TN,57.3,Shelby County,85059
108,TN,57.3,Shelby County,85059
109,TN,57.3,Shelby County,85059
110,TN,57.3,Shelby County,85059
111,TN,57.3,Shelby County,85059
112,TN,57.3,Shelby County,85059
113,TN,57.3,Shelby County,85059
114,TN,57.3,Shelby County,85059
115,TN,57.3,Shelby County,85059
116,TN,57.3,Shelby County,85059
117,TN,57.3,Shelby County,85059
118,TN,57.3,Shelby County,85059
119,TN,59.2,Shelby County,166724
120,TN,59.2,Shelby County,166724
121,TN,59.2,Shelby County,166724
122,TN,59.2,Shelby County,166724
123,TN,59.2,Shelby County,166724
124,TN,59.2,Shelby County,166724
125,TN,59.2,Shelby County,166724
126,TN,59.2,Shelby County,166724
127,TN,59.2,Shelby County,166724
128,TN,59.2,Shelby County,166724
129,TN,59.2,Shelby County,166724
130,TN,59.2,Shelby County,166724
131,TN,59.2,Shelby County,166724
132,TN,59.2,Shelby County,166724
133,TN,59.2,Shelby County,166724
134,TN,59.2,Shelby County,166724
135,TN,59.2,Shelby County,166724
136,TN,59.2,Shelby County,166724
137,TN,59.2,Shelby County,166724
138,TN,59.2,Shelby County,166724
139,TN,59.2,Shelby County,166724
140,TN,59.2,Shelby County,166724
141,TN,59.2,Shelby County,166724
142,TN,59.2,Shelby County,166724
143,TN,59.2,Shelby County,166724
144,TN,59.2,Shelby County,166724
145,TN,59.2,Shelby County,166724
146,TN,59.2,Shelby County,166724
147,TN,59.2,Shelby County,166724
148,TN,59.2,Shelby County,166724
149,TN,59.2,Shelby County,166724
150,TN,59.2,Shelby County,166724
151,TN,59.2,Shelby County,166724
152,TN,59.2,Shelby County,166724
153,TN,59.2,Shelby County,166724
154,TN,59.2,Shelby County,166724
155,TN,59.2,Shelby County,166724
156,TN,59.2,Shelby County,166724
157,TN,59.2,Shelby County,166724
158,TN,59.2,Shelby County,166724
159,TN,59.2,Shelby County,166724
160,TN,59.2,Shelby County,166724
161,TN,59.2,Shelby County,166724
162,TN,59.2,Shelby County,166724
163,TN,59.2,Shelby County,166724
164,TN,59.2,Shelby County,166724
165,TN,61.1,DeKalb County,8455
166,TN,52.6,Grainger County,22443
167,TN,52.3,Lake County,5029
168,TN,59.6,Carter County,55546
169,TN,56.2,Union County,18873
170,TN,51.5,Madison County,10160
171,TN,51.5,Madison County,10160
172,TN,51.5,Madison County,10160
173,TN,51.5,Madison County,10160
174,TN,51.5,Madison County,10160
175,TN,48,Lauderdale County,24643
176,TN,61.3,Hamblen County,27778
177,TN,52.8,Johnson County,16241
178,TN,60.4,Rhea County,31331
179,TN,60.7,Washington County,46246
180,TN,57.3,Grundy County,13275
181,TN,57.2,Marion County,11016
182,TN,61.6,Claiborne County,30602
183,TN,61.1,Cannon County,13598
184,TN,58.1,Meigs County,11397
185,TN,53.8,Cocke County,35023
186,TN,60.6,Sullivan County,61705
187,TN,50.2,Hancock County,6532
188,TN,58.3,Perry County,7694
189,TN,57.1,Lincoln County,14193
190,TN,58.8,Putnam County,33551
191,TN,55.6,Obion County,13547
192,TN,60.3,Warren County,18613
193,TN,56.2,Weakley County,14338
194,TN,52.4,Pickett County,2199
195,TN,59.8,Lawrence County,18848
196,TN,52.4,Van Buren County,5479
197,TN,59.9,Overton County,21785
198,TN,49.9,Decatur County,11439
199,TN,58.5,Gibson County,21330
200,TN,61.3,Bedford County,20857
201,TN,60.4,Chester County,17043
202,TN,58.6,Jefferson County,19890
203,TN,61.6,Marshall County,30888
204,TN,52.5,Hardeman County,23107
205,TN,61.9,Franklin County,15586
206,TN,55.8,Stewart County,13185
207,TN,60.2,Coffee County,23715
208,TN,61.5,Smith County,8154
209,TN,59.6,Greene County,29882
210,TN,60,Fayette County,11765
211,TN,54,Hawkins County,55686
212,TN,55.2,Wayne County,14856
213,TN,60.7,Monroe County,44680
214,TN,56.5,Loudon County,50179
215,TN,56.4,Cumberland County,56220
216,TN,60.3,Henderson County,27529
217,TN,61.9,Blount County,44124
218,TN,61.1,Macon County,22144
219,TN,55.1,White County,25533
220,TN,61,Sevier County,39645
221,TN,56.1,Haywood County,18157
222,TN,57,Scott County,22196
223,TN,59.8,Crockett County,14276
224,TN,56.7,Hardin County,25524
225,TN,61.5,Bradley County,41504
226,TN,60.7,Anderson County,28457
227,SD,61.5,Spink County,6483
228,SD,59.5,Beadle County,6604
229,SD,51.6,Pennington County,2415
230,SD,51.6,Pennington County,2415
231,SD,56.8,Lincoln County,2094
232,SD,56.8,Lincoln County,2094
233,SD,56.8,Lincoln County,2094
234,SD,56.8,Lincoln County,2094
235,SD,56.8,Lincoln County,2094
236,SD,56.8,Lincoln County,2094
237,SD,56.8,Lincoln County,2094
238,SD,56.8,Lincoln County,2094
239,SC,56.8,Union County,27895
240,SC,47.4,Greenville County,17135
241,SC,47.4,Greenville County,17135
242,SC,47.4,Greenville County,17135
243,SC,47.4,Greenville County,17135
244,SC,47.4,Greenville County,17135
245,SC,47.4,Greenville County,17135
246,SC,47.4,Greenville County,17135
247,SC,47.4,Greenville County,17135
248,PA,59.3,Cameron County,4866
249,PA,57.4,Carbon County,28127
250,PA,57.4,Carbon County,28127
251,PA,57.4,Carbon County,28127
252,PA,57.4,Schuylkill County,28127
253,PA,57.4,Schuylkill County,28127
254,PA,57.4,Schuylkill County,28127
255,PA,57.4,Schuylkill County,28127
256,PA,57.4,Schuylkill County,28127
257,PA,57.4,Schuylkill County,28127
258,PA,57.4,Schuylkill County,28127
259,PA,60.3,Greene County,17400
260,PA,60.3,Greene County,17400
261,PA,60.3,Greene County,17400
262,PA,60.3,Greene County,17400
263,PA,60.3,Greene County,17400
264,PA,60.3,Greene County,17400
265,PA,60.3,Greene County,17400
266,PA,60.3,Greene County,17400
267,PA,60.3,Greene County,17400
